system_code,time_slot,record_id,timestamp,capacity,latitude,longitude,occupancy,vehicle_type,traffic_condition_nearby,queue_length,is_special_day,occupancy_raw,occupancy_clean,occupancy_anomaly_flag,available_spaces,utilization,date,month,day,day_of_week,day_name,is_weekend,hour,minute,slot_index,hour_sin,hour_cos,dow_sin,dow_cos,traffic_level,vehicle_priority,is_new_session,session_id,minutes_from_previous,session_step,session_size,session_progress,capacity_pressure,parking_stress_index,neighbor_utilization_mean,neighbor_queue_mean,neighbor_stress_mean,mean_neighbor_distance,lag_utilization_prev_day,lag_queue_prev_day,lag_stress_prev_day,spatial_utilization_gap,lag_occupancy_30m,lag_occupancy_60m,lag_utilization_30m,lag_utilization_60m,lag_utilization_120m,lag_queue_30m,rolling_utilization_3,rolling_utilization_6,rolling_queue_3,rolling_queue_6,rolling_stress_3,utilization_delta_30m,utilization_delta_60m,target_time_slot,target_occupancy_1h,target_available_spaces_1h,target_utilization_1h,target_stress_1h,target_time_slot_30m,target_utilization_30m,target_available_spaces_30m,target_time_slot_2h,target_utilization_2h,target_available_spaces_2h,future_demand_regime,current_utilization_band,target_utilization_band_1h,anomaly_flag,anomaly_score,anomaly_reason
BHMBCCMKT01,2016-11-23 10:00:00,868,2016-11-23 10:04:00,577,26.14453614,91.73617216,72.0,bike,low,2.0,0,72.0,72.0,0,505.0,0.12478336221837089,2016-11-23,11,23,2,Wednesday,0,10,0,20,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,1,False,50,30.0,4,18,0.2222222222222222,0.0034662045060658577,0.0876949740034662,1.9374732230704244,6.0,1.357780349975969,0.001897330778018105,0.20103986135181975,2.0,0.14107452339688042,-1.8126898608520534,47.0,34.0,0.08145580589254767,0.058925476603119586,0.04852686308492201,2.0,0.0635470826112074,0.05979202772963605,1.6666666666666667,1.5,0.11143847487001735,0.04332755632582322,0.0658578856152513,2016-11-23 11:00:00,128.0,449.0,0.2218370883882149,0.25597920277296365,2016-11-23 10:30:00,0.1733102253032929,477.0,2016-11-23 12:00:00,0.2876949740034662,411.0,Stable,Low,Low,1,0.6813471478784965,Unusual demand pattern detected
BHMBCCMKT01,2016-11-26 15:00:00,932,2016-11-26 15:01:00,577,26.14453614,91.73617216,567.0,bike,low,2.0,0,567.0,567.0,0,10.0,0.9826689774696707,2016-11-26,11,26,5,Saturday,1,15,0,30,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,0,1,False,54,30.0,14,18,0.7777777777777778,0.0034662045060658577,0.6882149046793761,1.994952893230875,7.981098484609652,1.5975833863286388,0.001897330778018105,0.5909878682842288,3.0,0.5142114384748699,-1.0122839157612042,573.0,551.0,0.9930675909878682,0.9549393414211439,0.8474870017331022,7.0,0.9428076256499134,0.8425765453495089,6.0,7.0,0.8276718659734258,-0.010398613518197486,0.02772963604852685,2016-11-26 16:00:00,543.0,34.0,0.9410745233968805,0.6590987868284229,2016-11-26 15:30:00,0.9549393414211439,26.0,,,,Congested,Critical,Critical,1,0.6784587797618147,Unusual demand pattern detected
BHMBCCMKT01,2016-11-26 15:30:00,933,2016-11-26 15:28:00,577,26.14453614,91.73617216,551.0,car,average,2.0,0,551.0,551.0,0,26.0,0.9549393414211439,2016-11-26,11,26,5,Saturday,1,15,30,31,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,1,2,False,54,30.0,15,18,0.8333333333333334,0.0034662045060658577,0.7688041594454073,1.9951740811769325,6.0,1.5981709506505246,0.001897330778018105,0.5771230502599654,2.0,0.4043327556325823,-1.0402347397557885,567.0,573.0,0.9826689774696707,0.9930675909878682,0.8804159445407279,2.0,0.9768919699595608,0.900057770075101,4.333333333333333,6.0,0.7845753899480069,-0.02772963604852685,-0.03812824956672434,2016-11-26 16:30:00,501.0,76.0,0.8682842287694974,0.6081455805892547,2016-11-26 16:00:00,0.9410745233968805,34.0,,,,Congested,Critical,High,1,0.6759837949976922,Unusual demand pattern detected
BHMBCCTHL01,2016-11-26 14:30:00,2243,2016-11-26 14:41:00,387,26.14449459,91.73620513,399.0,cycle,average,3.0,0,399.0,387.0,1,0.0,1.0,2016-11-26,11,26,5,Saturday,1,14,30,29,-0.4999999999999998,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,1,0,False,54,30.0,13,18,0.7222222222222222,0.007751937984496124,0.8007751937984495,1.9810656288503399,13.971717892258017,1.78822613270131,0.0019019720877115978,1.0,4.0,0.8010335917312661,-0.9810656288503399,387.0,387.0,1.0,1.0,1.0,6.0,1.0,1.0,6.666666666666667,6.833333333333333,0.9017226528854435,0.0,0.0,2016-11-26 15:30:00,387.0,0.0,1.0,0.8007751937984495,2016-11-26 15:00:00,1.0,0.0,2016-11-26 16:30:00,1.0,0.0,Critical,Critical,Critical,1,0.6721591812527776,Unusual demand pattern detected
BHMBCCMKT01,2016-12-07 10:30:00,1085,2016-12-07 10:26:00,577,26.14453614,91.73617216,97.0,car,low,3.0,0,97.0,97.0,0,480.0,0.1681109185441941,2016-12-07,12,7,2,Wednesday,0,10,30,21,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,2,False,63,30.0,5,18,0.2777777777777778,0.005199306759098787,0.11819757365684574,1.9789231477473535,6.0,1.3867952972498196,0.001897330778018105,0.20797227036395147,4.0,0.2462738301559792,-1.8108122292031594,68.0,34.0,0.11785095320623917,0.058925476603119586,0.025996533795493933,2.0,0.07047949162333911,0.051299826689774695,1.6666666666666667,1.4,0.0829578278451762,0.05025996533795493,0.10918544194107452,2016-12-07 11:30:00,150.0,427.0,0.25996533795493937,0.28266897746967073,2016-12-07 11:00:00,0.23570190641247835,441.0,2016-12-07 12:30:00,0.29809358752166376,405.0,Stable,Low,Low,1,0.6704996526317665,Unusual demand pattern detected
BHMBCCMKT01,2016-10-16 10:00:00,220,2016-10-16 10:04:00,577,26.14453614,91.73617216,57.0,car,low,4.0,1,57.0,57.0,0,520.0,0.09878682842287695,2016-10-16,10,16,6,Sunday,1,10,0,20,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,2,False,13,30.0,4,18,0.2222222222222222,0.006932409012131715,0.06984402079722703,1.761422555514484,8.0,1.2350612472957014,0.001897330778018105,0.2668977469670711,3.0,0.18734835355285964,-1.662635727091607,57.0,55.0,0.09878682842287695,0.09532062391681109,0.0831889081455806,2.0,0.09243212016175621,0.09012131715771231,2.0,2.0,0.06504910456383593,0.0,0.0034662045060658564,2016-10-16 11:00:00,56.0,521.0,0.09705372616984402,0.16880415944540728,2016-10-16 10:30:00,0.09705372616984402,521.0,2016-10-16 12:00:00,0.11265164644714037,512.0,Stable,Low,Low,1,0.665136699684688,Unusual demand pattern detected
BHMBCCMKT01,2016-11-30 10:30:00,995,2016-11-30 10:28:00,577,26.14453614,91.73617216,107.0,car,low,2.0,0,107.0,107.0,0,470.0,0.1854419410745234,2016-11-30,11,30,2,Wednesday,0,10,30,21,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,2,False,58,30.0,5,18,0.2777777777777778,0.0034662045060658577,0.13015597920277297,1.9725731299477758,6.0,1.382350284790115,0.001897330778018105,0.22876949740034663,2.0,0.16048526863084922,-1.7871311888732524,81.0,49.0,0.14038128249566725,0.08492201039861352,0.0415944540727903,2.0,0.0953206239168111,0.07140381282495667,1.3333333333333333,1.0,0.06695551704217216,0.04506065857885613,0.10051993067590986,2016-11-30 11:30:00,159.0,418.0,0.2755632582322357,0.2937608318890814,2016-11-30 11:00:00,0.2322357019064125,443.0,2016-11-30 12:30:00,0.3275563258232236,388.0,Stable,Low,Low,1,0.6648775818386045,Unusual demand pattern detected
BHMBCCMKT01,2016-12-07 10:00:00,1084,2016-12-07 09:59:00,577,26.14453614,91.73617216,68.0,car,low,2.0,0,68.0,68.0,0,509.0,0.11785095320623917,2016-12-07,12,7,2,Wednesday,0,10,0,20,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,2,False,63,30.0,4,18,0.2222222222222222,0.0034662045060658577,0.082842287694974,1.8291975191641456,4.009450757695174,1.2824180792017101,0.001897330778018105,0.1438474870017331,2.0,0.10103986135181976,-1.7113465659579066,34.0,20.0,0.058925476603119586,0.03466204506065858,0.019064124783362217,2.0,0.03986135181975736,0.03466204506065858,1.3333333333333333,1.25,0.06146735990756789,0.058925476603119586,0.0831889081455806,2016-12-07 11:00:00,136.0,441.0,0.23570190641247835,0.265684575389948,2016-12-07 10:30:00,0.1681109185441941,480.0,2016-12-07 12:00:00,0.30675909878682844,400.0,Stable,Low,Low,1,0.6644438000813376,Unusual demand pattern detected
BHMBCCTHL01,2016-11-26 15:30:00,2245,2016-11-26 15:28:00,387,26.14449459,91.73620513,398.0,car,average,3.0,0,398.0,387.0,1,0.0,1.0,2016-11-26,11,26,5,Saturday,1,15,30,31,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,1,2,False,54,30.0,15,18,0.8333333333333334,0.007751937984496124,0.8007751937984495,1.905489510523369,4.009427369247327,1.5345386480183272,0.0019019720877115978,0.9509043927648578,2.0,0.6661498708010335,-0.9054895105233689,387.0,387.0,1.0,1.0,1.0,4.0,1.0,1.0,4.333333333333333,5.833333333333333,0.8344530577088717,0.0,0.0,2016-11-26 16:30:00,387.0,0.0,1.0,0.700516795865633,2016-11-26 16:00:00,1.0,0.0,,,,Congested,Critical,Critical,1,0.6626107744520361,Unusual demand pattern detected
BHMBCCTHL01,2016-11-26 14:00:00,2242,2016-11-26 14:01:00,387,26.14449459,91.73620513,402.0,car,high,6.0,0,402.0,387.0,1,0.0,1.0,2016-11-26,11,26,5,Saturday,1,14,0,28,-0.4999999999999998,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,2,2,False,54,30.0,12,18,0.6666666666666666,0.015503875968992248,0.9015503875968991,1.9048476470852531,7.990572630752672,1.5347793167938826,0.0019019720877115978,1.0,4.0,0.8010335917312661,-0.9048476470852531,387.0,387.0,1.0,1.0,1.0,7.0,1.0,1.0,7.333333333333333,6.666666666666667,0.9018949181739878,0.0,0.0,2016-11-26 15:00:00,387.0,0.0,1.0,0.8010335917312661,2016-11-26 14:30:00,1.0,0.0,2016-11-26 16:00:00,1.0,0.0,Critical,Critical,Critical,1,0.6609769205601771,Unusual demand pattern detected
