system_code,time_slot,record_id,timestamp,capacity,latitude,longitude,occupancy,vehicle_type,traffic_condition_nearby,queue_length,is_special_day,occupancy_raw,occupancy_clean,occupancy_anomaly_flag,available_spaces,utilization,date,month,day,day_of_week,day_name,is_weekend,hour,minute,slot_index,hour_sin,hour_cos,dow_sin,dow_cos,traffic_level,vehicle_priority,is_new_session,session_id,minutes_from_previous,session_step,session_size,session_progress,capacity_pressure,parking_stress_index,neighbor_utilization_mean,neighbor_queue_mean,neighbor_stress_mean,mean_neighbor_distance,lag_utilization_prev_day,lag_queue_prev_day,lag_stress_prev_day,spatial_utilization_gap,lag_occupancy_30m,lag_occupancy_60m,lag_utilization_30m,lag_utilization_60m,lag_utilization_120m,lag_queue_30m,rolling_utilization_3,rolling_utilization_6,rolling_queue_3,rolling_queue_6,rolling_stress_3,utilization_delta_30m,utilization_delta_60m,target_time_slot,target_occupancy_1h,target_available_spaces_1h,target_utilization_1h,target_stress_1h,target_time_slot_30m,target_utilization_30m,target_available_spaces_30m,target_time_slot_2h,target_utilization_2h,target_available_spaces_2h,future_demand_regime,current_utilization_band,target_utilization_band_1h,predicted_utilization_1h,rf_predicted_utilization_1h,ensemble_predicted_utilization_1h,prediction_interval_lower,prediction_interval_upper,uncertainty_width,predicted_available_spaces_1h,predicted_free_ratio,balanced_score,low_risk_score,low_congestion_score,max_availability_score,risk_band,recommendation_rank
BHMBCCMKT01,2016-12-19 15:30:00,1309,2016-12-19 15:29:00,577,26.14453614,91.73617216,274.0,cycle,low,2.0,0,274.0,274.0,0,303.0,0.4748700173310225,2016-12-19,12,19,0,Monday,0,15,30,31,-0.7071067811865471,-0.7071067811865479,0.0,1.0,0,0,False,77,30.0,15,18,0.8333333333333334,0.0034662045060658577,0.3327556325823223,1.9989744922500983,6.0,1.4008312384017407,0.001897330778018105,0.5077989601386482,4.0,0.35615251299826695,-1.5241044749190757,300.0,309.0,0.5199306759098787,0.5355285961871751,0.5043327556325823,3.0,0.5280184864240324,0.5,3.6666666666666665,5.0,0.4369150779896014,-0.045060658578856216,-0.060658578856152556,2016-12-19 16:30:00,193.0,384.0,0.3344887348353553,0.2344887348353553,2016-12-19 16:00:00,0.3986135181975737,347.0,,,,Stable,Moderate,Low,0.3775630700017853,0.36871278094864707,0.3775630700017853,0.33397757753933244,0.42114856246423815,0.08717098492490571,359.0,0.6221837088388215,0.7261815620833195,0.5788514375357618,0.8468950492956463,0.6221837088388215,Low,1
Others-CCCPS202,2016-12-19 15:30:00,14429,2016-12-19 15:29:00,2937,26.14749053,91.72799688,1306.0,bike,low,3.0,0,1306.0,1306.0,0,1631.0,0.4446714334354784,2016-12-19,12,19,0,Monday,0,15,30,31,-0.7071067811865471,-0.7071067811865479,0.0,1.0,0,1,False,77,30.0,15,18,0.8333333333333334,0.0010214504596527069,0.31137214845080013,1.4464037083124202,6.0,1.0126456344410095,1.5085788776804644e-05,0.31835205992509363,4.0,0.2229826353421859,-1.0017322748769417,1327.0,1332.0,0.45182158665304734,0.45352400408580185,0.4446714334354784,3.0,0.4519350811485643,0.4426852797639315,4.333333333333333,6.166666666666667,0.38316876631483376,-0.007150153217568955,-0.008852570650323466,2016-12-19 16:30:00,1184.0,1753.0,0.4031324480762683,0.28226081035069794,2016-12-19 16:00:00,0.42356145726932243,1693.0,,,,Stable,Moderate,Moderate,0.39000231308613714,0.390986682712431,0.39000231308613714,0.3464168206236843,0.43358780554859,0.08717098492490571,1792.0,0.6101464078992169,0.7181439166986922,0.56641219445141,0.8433862044897535,0.6101464078992169,Low,2
Others-CCCPS119a,2016-12-19 15:30:00,11805,2016-12-19 15:29:00,2803,26.14754061,91.72797041,1277.0,bike,low,3.0,0,1277.0,1277.0,0,1526.0,0.4555833036032822,2016-12-19,12,19,0,Monday,0,15,30,31,-0.7071067811865471,-0.7071067811865479,0.0,1.0,0,1,False,77,30.0,15,18,0.8333333333333334,0.0010702818408847663,0.319015340706386,1.2723073255457256,6.0,0.97922482454275,3.623443339105699e-05,0.4555833036032822,5.0,0.41908669282911165,-0.8167240219424434,1274.0,1276.0,0.45451302176239744,0.4552265429896539,0.45451302176239744,3.0,0.4547508621714829,0.4543941015578547,5.0,7.0,0.4185039838268521,0.001070281840884757,0.00035676061362827083,2016-12-19 16:30:00,1262.0,1541.0,0.45023189439885836,0.31523367820192644,2016-12-19 16:00:00,0.45201569746699966,1536.0,,,,Stable,Moderate,Moderate,0.4160582367730742,0.4184144115710457,0.4160582367730742,0.37247274431062133,0.45964372923552704,0.08717098492490571,1637.0,0.5840171245094542,0.6998619919753184,0.5403562707644729,0.8329345361862395,0.5840171245094542,Low,3
Others-CCCPS98,2016-12-19 15:30:00,17053,2016-12-19 15:29:00,3103,26.14749998,91.72797778,1781.0,car,low,3.0,0,1781.0,1781.0,0,1322.0,0.573960683209797,2016-12-19,12,19,0,Monday,0,15,30,31,-0.7071067811865471,-0.7071067811865479,0.0,1.0,0,2,False,77,30.0,15,18,0.8333333333333334,0.0009668063164679343,0.40186915887850466,1.070143745226195,6.0,0.7492908716686946,2.3245136541187724e-05,0.5352884305510796,5.0,0.47486303577183364,-0.49618306201639806,1820.0,1840.0,0.5865291653238801,0.5929745407669996,0.5916854656783758,4.0,0.5912557739821678,0.5878182404125041,4.666666666666667,7.0,0.4806961005478569,-0.012568482114083124,-0.01901385755720264,2016-12-19 16:30:00,1671.0,1432.0,0.5385111182726394,0.3770544634224944,2016-12-19 16:00:00,0.5536577505639704,1385.0,,,,Busy,Moderate,Moderate,0.49513634192587175,0.4939620309811473,0.49513634192587175,0.4515508494634189,0.5387218343883245,0.08717098492490566,1567.0,0.5049951659684176,0.6445532794485358,0.46127816561167545,0.8013653794397706,0.5049951659684176,Low,4
BHMNCPNST01,2016-12-19 15:30:00,7869,2016-12-19 15:29:00,485,26.14004753,91.73097233,298.0,car,low,2.0,0,298.0,298.0,0,187.0,0.6144329896907217,2016-12-19,12,19,0,Monday,0,15,30,31,-0.7071067811865471,-0.7071067811865479,0.0,1.0,0,2,False,89,30.0,15,18,0.8333333333333334,0.004123711340206186,0.43051546391752576,1.4222973514720618,6.0,0.9961212486757021,0.004592595703218997,0.49072164948453606,3.0,0.3441237113402062,-0.8078643617813401,303.0,297.0,0.6247422680412371,0.6123711340206186,0.5608247422680412,2.0,0.6123711340206186,0.5756013745704468,3.3333333333333335,5.0,0.4960137457044673,-0.010309278350515427,0.0020618556701030855,2016-12-19 16:30:00,257.0,228.0,0.5298969072164949,0.37134020618556696,2016-12-19 16:00:00,0.5608247422680412,213.0,,,,Busy,Moderate,Moderate,0.5476923430462078,0.5537143435146236,0.5476923430462078,0.504106850583755,0.5912778355086606,0.0871709849249056,219.0,0.4515463917525773,0.606730949766576,0.40872216449133936,0.7784488359773931,0.4515463917525773,Moderate,5
BHMNCPHST01,2016-12-19 15:30:00,6557,2016-12-19 15:29:00,1200,26.14001386,91.73099967,849.0,car,low,3.0,0,849.0,849.0,0,351.0,0.7075,2016-12-19,12,19,0,Monday,0,15,30,31,-0.7071067811865471,-0.7071067811865479,0.0,1.0,0,2,False,87,30.0,15,18,0.8333333333333334,0.0025,0.49549999999999994,0.6156465507754563,2.003147471262547,0.4313660986507497,0.002318353210530502,0.45416666666666666,3.0,0.3181666666666666,0.09185344922454375,875.0,892.0,0.7291666666666666,0.7433333333333333,0.735,3.0,0.7380555555555556,0.7327777777777778,3.6666666666666665,6.0,0.583611111111111,-0.021666666666666612,-0.03583333333333327,2016-12-19 16:30:00,718.0,482.0,0.5983333333333334,0.4190833333333333,2016-12-19 16:00:00,0.6616666666666666,406.0,,,,Busy,High,Moderate,0.5989823005336437,0.6136439454356126,0.5989823005336437,0.5553968080711909,0.6425677929960965,0.0871709849249056,481.0,0.4008333333333333,0.5714123263740986,0.35743220700390355,0.7589070797865426,0.4008333333333333,Moderate,6
Others-CCCPS8,2016-12-19 15:30:00,15741,2016-12-19 15:29:00,1322,26.14754886,91.72799519,945.0,car,average,3.0,0,945.0,945.0,0,377.0,0.7148260211800302,2016-12-19,12,19,0,Monday,0,15,30,31,-0.7071067811865471,-0.7071067811865479,0.0,1.0,1,2,False,77,30.0,15,18,0.8333333333333334,0.0022692889561270802,0.6006051437216339,0.5193097274431221,3.0000000000000004,0.3636177089841647,3.420242178203038e-05,0.6550680786686838,4.0,0.45885022692889554,0.19551629373690815,967.0,974.0,0.7314674735249622,0.7367624810892587,0.7049924357034796,2.0,0.7339889056984367,0.7022188603126575,4.333333333333333,6.333333333333333,0.6141200201714573,-0.016641452344931973,-0.021936459909228434,2016-12-19 16:30:00,806.0,516.0,0.6096822995461422,0.5270045385779122,2016-12-19 16:00:00,0.6580937972768532,452.0,,,,Busy,High,Moderate,0.6261058454564343,0.6319358317347537,0.6261058454564343,0.5825203529939815,0.6696913379188871,0.0871709849249056,494.0,0.37367624810892586,0.5524568940011921,0.33030866208111287,0.74819608844375,0.37367624810892586,Moderate,7
Shopping,2016-12-19 15:30:00,18365,2016-12-19 15:29:00,1920,26.15050395,91.73353109,1432.0,cycle,low,3.0,0,1432.0,1432.0,0,488.0,0.7458333333333333,2016-12-19,12,19,0,Monday,0,15,30,31,-0.7071067811865471,-0.7071067811865479,0.0,1.0,0,0,False,77,30.0,15,18,0.8333333333333334,0.0015625,0.5222395833333333,0.7937417869863823,3.0,0.5890555894019169,0.006231110117805681,0.47239583333333335,4.0,0.33088541666666665,-0.047908453653048966,1487.0,1517.0,0.7744791666666667,0.7901041666666667,0.7864583333333334,3.0,0.7855902777777778,0.7829861111111112,4.666666666666667,7.0,0.6168229166666667,-0.02864583333333337,-0.04427083333333337,2016-12-19 16:30:00,1180.0,740.0,0.6145833333333334,0.43031250000000004,2016-12-19 16:00:00,0.6880208333333333,599.0,,,,Busy,High,Moderate,0.6320774441241062,0.6426757915011653,0.6320774441241062,0.5884919516616534,0.675662936586559,0.0871709849249056,706.0,0.36770833333333336,0.5484197904764829,0.32433706341344104,0.7462315223503575,0.36770833333333336,Moderate,8
Others-CCCPS135a,2016-12-19 15:30:00,13117,2016-12-19 15:29:00,3883,26.14749943,91.72800489,2971.0,car,low,3.0,0,2971.0,2971.0,0,912.0,0.7651300540818955,2016-12-19,12,19,0,Monday,0,15,30,31,-0.7071067811865471,-0.7071067811865479,0.0,1.0,0,2,False,77,30.0,15,18,0.8333333333333334,0.0007725985063095545,0.5356682977079578,0.9361090241425251,6.000000000000001,0.6554786304185503,1.70210097782437e-05,0.45197012619108934,4.0,0.3164821014679371,-0.17097897006062956,3102.0,3167.0,0.7988668555240793,0.815606489827453,0.8186968838526912,4.0,0.8106275216756803,0.8135891492832003,5.0,7.166666666666667,0.634234698257361,-0.03373680144218383,-0.05047643574555749,2016-12-19 16:30:00,2533.0,1350.0,0.6523306721607005,0.45670873036312126,2016-12-19 16:00:00,0.7133659541591553,1113.0,,,,Busy,High,Moderate,0.6485684168574817,0.648787234709469,0.6485684168574817,0.6049829243950289,0.6921539093199345,0.0871709849249056,1365.0,0.3515323203708473,0.5371758217587584,0.3078460906800655,0.7401090741532216,0.3515323203708473,Moderate,9
Others-CCCPS105a,2016-12-19 15:30:00,10493,2016-12-19 15:29:00,2009,26.14747299,91.72804914,1553.0,bike,low,3.0,0,1553.0,1553.0,0,456.0,0.7730214036834245,2016-12-19,12,19,0,Monday,0,15,30,31,-0.7071067811865471,-0.7071067811865479,0.0,1.0,0,1,False,77,30.0,15,18,0.8333333333333334,0.0014932802389248383,0.5412643106022896,0.6630343213506722,3.0,0.46420921303422064,5.2739924587360576e-05,0.7038327526132404,4.0,0.49288203086112486,0.10998708233275234,1609.0,1642.0,0.800895968143355,0.8173220507715281,0.8053758088601294,3.0,0.8128422100547535,0.79525468724075,5.0,7.166666666666667,0.6692384270781483,-0.027874564459930418,-0.04430064708810355,2016-12-19 16:30:00,1345.0,664.0,0.6694873071179691,0.46874066699850664,2016-12-19 16:00:00,0.7172722747635639,568.0,,,,Busy,High,Moderate,0.6691771763231928,0.6706843925720274,0.6691771763231928,0.62559168386074,0.7127626687856456,0.0871709849249056,665.0,0.3310104529616725,0.5226446552116789,0.28723733121435435,0.7314331613273679,0.3310104529616725,Moderate,10
